,emoji,name,edit,origin
232,🧓,older person,노인들,노인들
233,👴,old man,노인,노인
234,👵,old woman,늙은 여자,늙은 여자
235,🙍,person frowning,찡그린 사람,사람이 찌푸리는 사람
236,🙍‍♂️,man frowning,찡그린 남자,남자가 깜박이고
237,🙍‍♀️,woman frowning,찡그린 여자,여자 찡그린
238,🙎,person pouting,삐진 사람,사람 삐걱 거리는 것
239,🙎‍♂️,man pouting,삐진 남자,남자 pouting.
240,🙎‍♀️,woman pouting,삐진 여자,여자 pouting.
241,🙅,person gesturing NO,NO 표시하는 사람,몸짓으로 사람이 아닙니다
242,🙅‍♂️,man gesturing NO,NO 표시하는 여자,남자 gesturing no.
243,🙅‍♀️,woman gesturing NO,NO 표시하는 남자,여자 gesturing no..
244,🙆,person gesturing OK,OK 표시하는 사람,사람이 몸짓으로 괜찮아요
245,🙆‍♂️,man gesturing OK,OK 표시하는 남자,남자 몸짓으로 괜찮아
246,🙆‍♀️,woman gesturing OK,OK 표시하는 여자,여자 몸짓으로 괜찮아
247,💁,person tipping hand,손들고 있는 사람,손을 팁을 팁
248,💁‍♂️,man tipping hand,손 들고 있는 남자,손을 팁을 찍는 남자
249,💁‍♀️,woman tipping hand,손 들고 있는 여자,손을 팁을 팁하는 여자
250,🙋,person raising hand,손 들고 있는 사람,손을 제기하는 사람
251,🙋‍♂️,man raising hand,손 들고 있는 남자,손을 제기하는 남자
252,🙋‍♀️,woman raising hand,손 들고 있는 여자,여자 손을 올리고
253,🧏,deaf person,청각 장애인,청각 장애인
254,🧏‍♂️,deaf man,청각 장애인 남자,장애애인 남자
255,🧏‍♀️,deaf woman,청각 장애인 여자,청각 장애인 여성
256,🙇,person bowing,사람을 던지는 사람,사람을 던지는 사람
257,🙇‍♂️,man bowing,바람 부는 남자,남자 bowing.
258,🙇‍♀️,woman bowing,바람 부는 남자,여자 bowing.
259,🤦,person facepalming,사람의 얼굴,사람의 얼굴
260,🤦‍♂️,man facepalming,얼굴 만지는 남자,남자 facepalming.
261,🤦‍♀️,woman facepalming,얼굴 만지는 여자,여자 facepalming.
262,🤷,person shrugging,으쓱하는 사람,사람 shrugging.
263,🤷‍♂️,man shrugging,으쓱하는 남자,남자 shrugging.
264,🤷‍♀️,woman shrugging,으쓱하는 여자,여자 shrugging.
265,🧑‍⚕️,health worker,건강한 노동자,건강 노동자
266,👨‍⚕️,man health worker,건강한 남자 노동자,남자 건강 노동자
267,👩‍⚕️,woman health worker,건강한 여자 노동자,여자 건강 노동자
268,🧑‍🎓,student,학생,학생
269,👨‍🎓,man student,남자 학생,남자 학생
270,👩‍🎓,woman student,여자 학생,여자 학생
271,🧑‍🏫,teacher,선생님,선생님
272,👨‍🏫,man teacher,남자 선생님,남자 선생님
273,👩‍🏫,woman teacher,여자 교사,여자 교사
274,🧑‍⚖️,judge,판사,판사
275,👨‍⚖️,man judge,남자 판사,남자 판사
276,👩‍⚖️,woman judge,여자 판사,여자 판사
277,🧑‍🌾,farmer,농장주,농장주
278,👨‍🌾,man farmer,남자 농부,남자 농부
279,👩‍🌾,woman farmer,여자 농부,여자 농부
280,🧑‍🍳,cook,요리사,요리하다
281,👨‍🍳,man cook,남자 요리사,남자 쿡
282,👩‍🍳,woman cook,여자 요리사,여자 요리사
283,🧑‍🔧,mechanic,정비공,정비공
284,👨‍🔧,man mechanic,남자 정비사,남자 정비사
285,👩‍🔧,woman mechanic,여자 정비사,여자 정비사
286,🧑‍🏭,factory worker,공장 노동자,공장 노동자
287,👨‍🏭,man factory worker,남자 공장 노동자,남자 공장 노동자
288,👩‍🏭,woman factory worker,여자 공장 노동자,여자 공장 노동자
289,🧑‍💼,office worker,회사원,사무원
290,👨‍💼,man office worker,남자 회사원,남자 회사원
291,👩‍💼,woman office worker,여자 회사원,여자 회사원
292,🧑‍🔬,scientist,과학자,과학자
293,👨‍🔬,man scientist,남자 과학자,남자 과학자
294,👩‍🔬,woman scientist,여자 과학자,여자 과학자
295,🧑‍💻,technologist,과학 기술자,과학 기술자
296,👨‍💻,man technologist,남자 기술자,남자 기술자
297,👩‍💻,woman technologist,여자 기술자,여자 기술자
298,🧑‍🎤,singer,가수,가수
299,👨‍🎤,man singer,남자 가수,남자 가수
300,👩‍🎤,woman singer,여자 가수,여자 가수
301,🧑‍🎨,artist,아티스트,아티스트
302,👨‍🎨,man artist,남자 아티스트,남자 아티스트
303,👩‍🎨,woman artist,여자 아티스트,여자 아티스트
304,🧑‍✈️,pilot,조종사,조종사
305,👨‍✈️,man pilot,남자 조종사,남자 조종사
306,👩‍✈️,woman pilot,여자 조종사,여자 조종사
307,🧑‍🚀,astronaut,우주 비행사,우주 비행사
308,👨‍🚀,man astronaut,남자 우주 비행사,남자 우주 비행사
309,👩‍🚀,woman astronaut,여자 우주 비행사,여자 우주 비행사
310,🧑‍🚒,firefighter,소방관,소방관
311,👨‍🚒,man firefighter,남자 소방관,남자 소방관
312,👩‍🚒,woman firefighter,여자 소방관입니다,여자 소방관입니다
313,👮,police officer,경찰관,경찰관
314,👮‍♂️,man police officer,남자 경찰,남자 경찰
315,👮‍♀️,woman police officer,여자 경찰,여자 경찰
316,🕵,detective,형사,형사
317,🕵️‍♂️,man detective,남자 형사,남자 형사
318,🕵️‍♀️,woman detective,여자 형사,여자 형사
319,💂,guard,경비원,경비원
320,💂‍♂️,man guard,남자 가버스,남자 가버스
321,💂‍♀️,woman guard,여자 가드,여자 가드
322,🥷,ninja,닌자,닌자
323,👷,construction worker,건설 노동자,건설 노동자
324,👷‍♂️,man construction worker,남자 건설 노동자,남자 건설 노동자
325,👷‍♀️,woman construction worker,여자 건설 노동자,여자 건설 노동자
326,🤴,prince,왕자,왕자
327,👸,princess,공주님,공주님
328,👳,person wearing turban,터번을 착용하는 사람,터번을 착용하는 사람
329,👳‍♂️,man wearing turban,터번을 입고 남자,터번을 입고 남자
330,👳‍♀️,woman wearing turban,여자는 터번을 입고,여자는 터번을 입고
331,👲,person with skullcap,골무를 가진 사람,Skullcap을 가진 사람
332,🧕,woman with headscarf,머리에 스카프를 쓴 여자,머리카락을 가진 여자
333,🤵,person in tuxedo,턱시도를 입은 사람,턱시도에있는 사람
334,🤵‍♂️,man in tuxedo,턱시도를 입은 남자,턱시도에있는 남자
335,🤵‍♀️,woman in tuxedo,턱시도를 입은 여자,턱시도에있는 여자
336,👰,person with veil,베일을 가진 사람,베일을 가진 사람
337,👰‍♂️,man with veil,베일을 가진 남자,베일을 가진 남자
338,👰‍♀️,woman with veil,베일을 가진 여자,베일을 가진 여자
339,🤰,pregnant woman,임산부,임산부
340,🤱,breast-feeding,유방 수유,유방 수유
341,👩‍🍼,woman feeding baby,밥먹는 여자 아기,여자 먹이 아기
342,👨‍🍼,man feeding baby,밥먹는 남자 아기,남자 먹이 아기
343,🧑‍🍼,person feeding baby,밥먹는 아기,사람 먹이 아기
344,👼,baby angel,아기 천사,아기 천사
345,🎅,Santa Claus,산타 클로스.,산타 클로스.
346,🤶,Mrs. Claus,산타 클로스 부인,클로스 부인
347,🧑‍🎄,mx claus,MX 클로스,MX 클로스
348,🦸,superhero,슈퍼 히어로,슈퍼 히어로
349,🦸‍♂️,man superhero,남자 슈퍼 히어로,남자 슈퍼 히어로
350,🦸‍♀️,woman superhero,여자 슈퍼 히어로,여자 슈퍼 히어로
351,🦹,supervillain,빌런,슈퍼 빌라
352,🦹‍♂️,man supervillain,남자 빌런,남자 supervillain.
353,🦹‍♀️,woman supervillain,여자 빌런,여자 supervillain.
354,🧙,mage,마술사,마술사
355,🧙‍♂️,man mage,남자 마법사,위장.
356,🧙‍♀️,woman mage,여자 마법사,여자 마법사
357,🧚,fairy,요정,요정
358,🧚‍♂️,man fairy,남자 요정,남자 요정
359,🧚‍♀️,woman fairy,여자 요정,여자 요정
360,🧛,vampire,흡혈귀,흡혈귀
361,🧛‍♂️,man vampire,남자 뱀파이어,남자 뱀파이어
362,🧛‍♀️,woman vampire,여자 뱀파이어,여자 뱀파이어
363,🧜,merperson,인어,Merperson.
364,🧜‍♂️,merman,인어 왕자,인어
365,🧜‍♀️,mermaid,인어 공주,인어
366,🧝,elf,앨프,꼬마 요정
367,🧝‍♂️,man elf,남자 엘프,남자의 11.
368,🧝‍♀️,woman elf,여자 엘프,여자 엘프
369,🧞,genie,요정,요정
370,🧞‍♂️,man genie,남자 요정,하나의 천재
371,🧞‍♀️,woman genie,여자 요정,여자 genie.
372,🧟,zombie,좀비,좀비
373,🧟‍♂️,man zombie,남자 좀비,남자 좀비
374,🧟‍♀️,woman zombie,여자 좀비,여자 좀비
375,💆,person getting massage,마사지를 받는 사람,마사지를받는 사람
376,💆‍♂️,man getting massage,마사지를 받는 남자,남자 점점 마사지
377,💆‍♀️,woman getting massage,마사지를 받는 여자,여자 점점 마사지
378,💇,person getting haircut,머리 자르는 사람,이발을 얻는 사람
379,💇‍♂️,man getting haircut,머리 자르는 남자,남자 점점 이발
380,💇‍♀️,woman getting haircut,머리 자르는 여자,여자 점점 haircut.
381,🚶,person walking,걷는 사람,걷는 사람
382,🚶‍♂️,man walking,걷는 남자,걷는 남자
383,🚶‍♀️,woman walking,걷는 여자,걷는 여자
384,🧍,person standing,서있는 사람,서있는 사람
385,🧍‍♂️,man standing,서있는 사람,서있는 사람
386,🧍‍♀️,woman standing,서있는 여자,서있는 여자
387,🧎,person kneeling,무릎 꿇은 사람,사람 무릎을 꿇고
388,🧎‍♂️,man kneeling,무릎 꿇은 남자,남자 무릎을 꿇 고
389,🧎‍♀️,woman kneeling,무릎 꿇은 여자,여자 무릎을 꿇 고
390,🧑‍🦯,person with white cane,흰색 지팡이와 사람,흰색 지팡이가있는 사람
391,👨‍🦯,man with white cane,흰색 지팡이와 남자,흰색 지팡이와 남자입니다
392,👩‍🦯,woman with white cane,흰색 지팡이와 여자,흰색 지팡이와 여자입니다
393,🧑‍🦼,person in motorized wheelchair,전동 휠체어에있는 사람,전동 휠체어에있는 사람
394,👨‍🦼,man in motorized wheelchair,전동 휠체어에있는 남자,동력 된 휠체어에있는 남자
395,👩‍🦼,woman in motorized wheelchair,전동 휠체어에 있는 여자,여자 동력 휠체어에
396,🧑‍🦽,person in manual wheelchair,수동 휠체어에있는 사람,수동 휠체어에있는 사람
397,👨‍🦽,man in manual wheelchair,수동 휠체어에있는 남자,수동 휠체어에있는 남자
398,👩‍🦽,woman in manual wheelchair,수동 휠체어에 있는 여자,수동 휠체어에 여자
399,🏃,person running,달리는 사람,사람이 달리기
400,🏃‍♂️,man running,달리는 남자,남자 달리기
401,🏃‍♀️,woman running,달리는 여자,여자 실행입니다
402,💃,woman dancing,춤추는 여자,여자 춤
403,🕺,man dancing,춤추는 남자,남자 춤
404,🕴,person in suit levitating,수트입은 사람,욕구에있는 사람
405,👯,people with bunny ears,토끼 귀를 가진 사람들,토끼 귀를 가진 사람들
406,👯‍♂️,men with bunny ears,토끼 귀를 가진 남자,토끼 귀를 가진 남자
407,👯‍♀️,women with bunny ears,토끼 귀를 가진 여성,토끼 귀가있는 여성
408,🧖,person in steamy room,증기 방에있는 사람,증기 방에있는 사람
409,🧖‍♂️,man in steamy room,증기 방에있는 남자,증기 방에있는 남자
410,🧖‍♀️,woman in steamy room,증기 방에있는 여자,증기 방에있는 여자
411,🧗,person climbing,등산하는 사람,사람 등산
412,🧗‍♂️,man climbing,등산하는 남자,남자 등산
413,🧗‍♀️,woman climbing,등산하는 여자,여자 등산
414,🤺,person fencing,펜싱하는 사람,사람 펜싱
415,🏇,horse racing,경마,경마
416,⛷,skier,스키 타는 사람,스키 타는 사람
417,🏂,snowboarder,스노보더,스노
418,🏌,person golfing,골프치는 사람,사람 골프
419,🏌️‍♂️,man golfing,골프치는 남자,남자 골프
420,🏌️‍♀️,woman golfing,골프치는 여자,여자 골프
421,🏄,person surfing,서핑하는 사람,서핑 사람
422,🏄‍♂️,man surfing,서핑하는 남자,남자 서핑
423,🏄‍♀️,woman surfing,서핑하는 여자,서핑 여자
424,🚣,person rowing boat,보트 젓는 사람,사람 노를 보트
425,🚣‍♂️,man rowing boat,보트 젓는 남자,남자 노를 보트
426,🚣‍♀️,woman rowing boat,보트 젓는 여자,여자 노를 보트
427,🏊,person swimming,수영하는 사람,사람 수영
428,🏊‍♂️,man swimming,수영하는 남자,남자 수영
429,🏊‍♀️,woman swimming,수영하는 여자,여자 수영
430,⛹,person bouncing ball,공 튀기는 사람,사람 튀는 공
431,⛹️‍♂️,man bouncing ball,공 튀기는 남자,남자 튀는 공
432,⛹️‍♀️,woman bouncing ball,공 튀기는 여자,여자 튀는 공
433,🏋,person lifting weights,역도하는 사람,사람 리프팅 무게
434,🏋️‍♂️,man lifting weights,역도하는 남자,남자 리프팅 무게
435,🏋️‍♀️,woman lifting weights,역도하는 여자,여자 리프팅 무게입니다
436,🚴,person biking,자전거타는 사람,사람 자전거 타기
437,🚴‍♂️,man biking,자전거 타는 남자,남자 자전거 타기
438,🚴‍♀️,woman biking,자전거 타는 여자,여자 자전거입니다
439,🚵,person mountain biking,산악자전거 타는 사람,사람 산악 자전거
440,🚵‍♂️,man mountain biking,산악자전거 타는 남자 ,남자 산악 자전거
